,address,addressZipcode,addressStreet,area,baths,beds,latitude,longitude,monthly_rent,nearest_transit,transit_walk_dist,transit_walk_time,ucsd_car_dist,ucsd_car_time,ucsd_transit_dist,ucsd_transit_time,nearest_grocery,grocery_car_dist,grocery_car_time,coast_dist_km,medNeighborhoodIncome,zip_code,avg_crime
43,"13330 Caminito Ciera Unit 20, San Diego, CA 92129",92129,13330 Caminito Ciera Unit 20,572.0,1.0,1.0,32.96056,-117.10404,2250,Sabre Springs/Peñasquitos Transit Station,5.1 km,1 hour 11 mins,23.6 km,19 mins,23.3 km,1 hour 10 mins,H Mart,6.7 km,10 mins,15.030369599241226,152626,92129.0,0.5082010582010582
44,"8916 Capricorn Way, San Diego, CA 92126",92126,8916 Capricorn Way,2138.0,2.0,4.0,32.925224,-117.13217,7950,Miramar College Transit Station,2.4 km,35 mins,15.4 km,18 mins,17.2 km,56 mins,H Mart,2.0 km,5 mins,11.978835137811634,123232,92126.0,0.7442857142857143
45,"9449 Fairgrove Ln Unit 102, San Diego, CA 92129",92129,9449 Fairgrove Ln Unit 102,927.0,2.0,2.0,32.957268,-117.12241,2950,Miramar College Transit Station,6.1 km,1 hour 25 mins,21.6 km,17 mins,24.3 km,1 hour 14 mins,H Mart,5.7 km,11 mins,13.306356980873517,152626,92129.0,0.5082010582010582
46,"12290 Corte Sabio #3203, San Diego, CA 92128",92128,12290 Corte Sabio #3203,1134.0,2.0,2.0,33.001453,-117.06667,3300,Rancho Bernardo,5.0 km,1 hour 7 mins,30.6 km,23 mins,30.4 km,1 hour 29 mins,Trader Joe's,2.7 km,7 mins,19.207573382721908,128150,92128.0,0.918994708994709
47,"16889 Going My Way, San Diego, CA 92127",92127,16889 Going My Way,3692.0,4.0,4.0,33.02982,-117.15459,15000,Del Dios Hwy. & Bing Crosby Bl.,1.6 km,25 mins,28.5 km,26 mins,34.3 km,1 hour 41 mins,Jimbo's - 4S Ranch,5.8 km,10 mins,11.858345240500828,179220,92127.0,0.4484391534391534
48,"17195 W Bernardo Dr W #205, San Diego, CA 92127",92127,17195 W Bernardo Dr W #205,874.0,1.0,2.0,33.027225,-117.081894,2450,Rancho Bernardo,1.2 km,18 mins,31.3 km,22 mins,35.1 km,1 hour 36 mins,Vons,2.2 km,6 mins,18.32162429738721,179220,92127.0,0.4484391534391534
49,"13126 Calle De Los Ninos, San Diego, CA 92129",92129,13126 Calle De Los Ninos,1254.0,2.0,3.0,32.95552,-117.10788,5250,Miramar College Transit Station,7.0 km,1 hour 39 mins,23.4 km,19 mins,22.6 km,1 hour 1 min,H Mart,5.3 km,8 mins,14.659907306588863,152626,92129.0,0.5082010582010582
50,"15293 Maturin Dr Unit 97, San Diego, CA 92127",92127,15293 Maturin Dr Unit 97,688.0,1.0,1.0,33.00452,-117.089615,2500,Rancho Bernardo,2.5 km,35 mins,29.3 km,21 mins,31.9 km,1 hour 17 mins,Trader Joe's,4.0 km,8 mins,17.22288003871343,179220,92127.0,0.4484391534391534
51,"15016 Avenida Venusto Unit 164, San Diego, CA 92128",92128,15016 Avenida Venusto Unit 164,708.0,1.0,1.0,32.991024,-117.0686,2400,Rancho Bernardo,5.7 km,1 hour 17 mins,30.0 km,22 mins,29.8 km,1 hour 21 mins,Trader Joe's,2.0 km,6 mins,18.753844900535633,128150,92128.0,0.918994708994709
52,"11955 Tivoli Park Row Unit 4, San Diego, CA 92128",92128,11955 Tivoli Park Row Unit 4,1076.0,2.0,2.0,32.97656,-117.07137,3350,Rancho Bernardo,7.2 km,1 hour 40 mins,26.9 km,21 mins,29.3 km,1 hour 26 mins,Trader Joe's,1.4 km,4 mins,18.22252723477113,128150,92128.0,0.918994708994709
53,"8330 Santa Arminta Ave, San Diego, CA 92126",92126,8330 Santa Arminta Ave,2107.0,3.0,4.0,32.930744,-117.14458,4995,Miramar College Transit Station,4.0 km,57 mins,13.7 km,15 mins,16.8 km,1 hour 0 mins,H Mart,3.6 km,9 mins,10.985692892649014,123232,92126.0,0.7442857142857143
54,"12242 Paseo Lucido APT C, San Diego, CA 92128",92128,12242 Paseo Lucido APT C,1096.0,2.0,2.0,33.008423,-117.068054,4300,Rancho Bernardo,3.5 km,49 mins,31.4 km,23 mins,34.6 km,1 hour 54 mins,Trader Joe's,3.7 km,8 mins,19.264968368466228,128150,92128.0,0.918994708994709
55,"15263 Maturin Dr Unit 9, San Diego, CA 92127",92127,15263 Maturin Dr Unit 9,688.0,1.0,1.0,33.00444,-117.090805,2400,Rancho Bernardo,2.6 km,35 mins,29.3 km,21 mins,31.9 km,1 hour 17 mins,Trader Joe's,4.1 km,9 mins,17.11155710497166,179220,92127.0,0.4484391534391534
56,"10911 Sabre Hill Dr Unit 360, San Diego, CA 92128",92128,10911 Sabre Hill Dr Unit 360,900.0,2.0,2.0,32.95497,-117.100296,2800,Sabre Springs/Peñasquitos Transit Station,1.6 km,23 mins,26.1 km,20 mins,26.4 km,1 hour 23 mins,H Mart,6.7 km,9 mins,15.367452518580889,128150,92128.0,0.918994708994709
57,"9930 Scripps Vista Way Unit 148, San Diego, CA 92131",92131,9930 Scripps Vista Way Unit 148,1352.0,3.0,3.0,32.92435,-117.11243,3750,Miramar College Transit Station,2.4 km,34 mins,26.8 km,21 mins,18.1 km,1 hour 10 mins,H Mart,2.3 km,7 mins,13.69711194759696,181281,92131.0,0.44791005291005287
58,"14265 Marianopolis Way, San Diego, CA 92129",92129,14265 Marianopolis Way,2888.0,3.0,4.0,32.97538,-117.12681,5350,Sabre Springs/Peñasquitos Transit Station,8.2 km,1 hour 54 mins,23.4 km,19 mins,,,Trader Joe's,9.6 km,14 mins,13.08977052171412,152626,92129.0,0.5082010582010582
59,"17091 Bernardo Center Dr APT A, San Diego, CA 92128",92128,17091 Bernardo Center Dr APT A,1040.0,2.0,2.0,33.023674,-117.07377,2995,Rancho Bernardo,1.6 km,25 mins,32.2 km,23 mins,35.5 km,1 hour 42 mins,Trader Joe's,8.0 km,11 mins,18.982532711196683,128150,92128.0,0.918994708994709
60,"11970 Black Mountain Rd Unit 59, San Diego, CA 92129",92129,11970 Black Mountain Rd Unit 59,1680.0,3.0,3.0,32.936295,-117.12717,3750,Miramar College Transit Station,3.0 km,46 mins,23.4 km,19 mins,18.8 km,1 hour 36 mins,H Mart,2.5 km,6 mins,12.668081420320648,152626,92129.0,0.5082010582010582
61,"17016 Matinal Rd, San Diego, CA 92127",92127,17016 Matinal Rd,1894.0,2.0,4.0,33.024807,-117.09258,4500,Rancho Bernardo,1.8 km,25 mins,31.9 km,22 mins,35.7 km,1 hour 42 mins,Vons,2.8 km,6 mins,17.290772189043192,179220,92127.0,0.4484391534391534
62,"10825 Caminito Arcada, San Diego, CA 92131",92131,10825 Caminito Arcada,1058.0,3.0,3.0,32.93212,-117.09569,3400,Miramar College Transit Station,4.8 km,1 hour 8 mins,29.3 km,23 mins,29.9 km,2 hours 4 mins,H Mart,4.6 km,9 mins,15.447533614078203,181281,92131.0,0.44791005291005287
63,"12602 Creekwood Ct, San Diego, CA 92129",92129,12602 Creekwood Ct,1439.0,3.0,3.0,32.950935,-117.13849,4395,Miramar College Transit Station,5.6 km,1 hour 20 mins,22.8 km,19 mins,,,H Mart,5.1 km,9 mins,11.812741014088951,152626,92129.0,0.5082010582010582
64,"12416 Lomica Dr, San Diego, CA 92128",92128,12416 Lomica Dr,1770.0,2.0,2.0,33.009293,-117.06131,3800,Rancho Bernardo,3.8 km,54 mins,31.9 km,24 mins,38.7 km,1 hour 40 mins,Trader Joe's,5.4 km,9 mins,19.900339481834067,128150,92128.0,0.918994708994709
65,"8311 Calle Morelos, San Diego, CA 92126",92126,8311 Calle Morelos,1558.0,2.0,3.0,32.92302,-117.144775,3800,Miramar College Transit Station,3.3 km,47 mins,14.6 km,17 mins,15.3 km,52 mins,H Mart,3.3 km,8 mins,10.79051369337427,123232,92126.0,0.7442857142857143
66,"10921 Polaris Dr #Id1292587p, San Diego, CA 92126",92126,10921 Polaris Dr #Id1292587p,914.0,1.0,2.0,32.918,-117.13137,6391,Miramar College Transit Station,1.8 km,26 mins,15.6 km,20 mins,16.6 km,47 mins,H Mart,1.7 km,5 mins,11.801504551783372,123232,92126.0,0.7442857142857143
67,"7976 Glenda Way, San Diego, CA 92126",92126,7976 Glenda Way,1471.0,2.0,3.0,32.916996,-117.150894,3795,Miramar College Transit Station,3.4 km,48 mins,13.7 km,16 mins,14.7 km,44 mins,H Mart,3.8 km,10 mins,10.02758431827411,123232,92126.0,0.7442857142857143
68,"12146 Lomica Dr, San Diego, CA 92128",92128,12146 Lomica Dr,1367.0,2.0,2.0,33.011837,-117.06806,3235,Rancho Bernardo,3.1 km,44 mins,31.2 km,23 mins,34.7 km,1 hour 56 mins,Trader Joe's,6.1 km,10 mins,19.30569645252116,128150,92128.0,0.918994708994709
69,"10513 Westonhill Dr, San Diego, CA 92126",92126,10513 Westonhill Dr,1090.0,2.0,2.0,32.909668,-117.1345,2850,Miramar College Transit Station,1.8 km,26 mins,13.6 km,20 mins,16.1 km,58 mins,H Mart,2.6 km,7 mins,11.292799249808883,123232,92126.0,0.7442857142857143
70,"12779 Calma Ct #Id1292594p, San Diego, CA 92128",92128,12779 Calma Ct #Id1292594p,2454.0,3.0,5.0,33.019268,-117.05374,11284,Rancho Bernardo,3.9 km,55 mins,33.8 km,25 mins,37.6 km,1 hour 43 mins,Trader Joe's,7.2 km,11 mins,20.73990761923846,128150,92128.0,0.918994708994709
71,"12902 Orangeburg Ave, San Diego, CA 92129",92129,12902 Orangeburg Ave,1760.0,2.0,3.0,32.952988,-117.12007,4500,Miramar College Transit Station,5.4 km,1 hour 17 mins,22.4 km,18 mins,23.8 km,1 hour 17 mins,H Mart,4.9 km,9 mins,13.524472152531212,152626,92129.0,0.5082010582010582
